title,text,image,cate
38.5以下物理降温，38.5以上吃退烧药,"最近感染新冠发烧的人很多，所以网上关于发烧的科普也很多，看到比较多的是：38.5℃以下要物理降温，38.5℃以上要吃退烧药。这两点都是常见的误区。
吃退烧药不是以体温度数为绝对标准，而是以舒适度为标准，你觉得很难受了，38℃也可以吃，如果不难受，哪怕39℃以上也可以不吃，孩子大人都一样。
只有环境温度过高，导致身体无法散热导致的体温上升，或者体温中枢出了问题，把体温设定到一个人体无法耐受的恶性高热，才需要物理降温。",//jiaozhen-70111.picnjc.qpic.cn/cEb4jPraEgEcCthZ4fzVPb?imageView2/2/w/300/h/300,fake
新冠吃药顺序：前期吃四季抗病毒合剂，预防吃果维康,感冒后并不是所有症状都会出现，也不是所有症状都严重到必须药物处理。同理，如果没有抗新冠病毒特效药，我们需要用药的时期主要是在症状最突出的那个时期，而如果症状已经开始缓解，没有特别不适，就可以不用药，交给身体免疫力去解决战斗。,//jiaozhen-70111.picnjc.qpic.cn/rqyLeWpioE1TzJLJZALosh?imageView2/2/w/300/h/300,fake
羟氯喹+阿奇霉素能治新冠,目前没有可信的证据显示使用羟氯喹、氯喹和阿奇霉素对新冠病毒感染的治疗或预防有效。这些药物的使用可造成严重不良反应，包括心脏、肝脏、肾脏损伤和血液系统损害。因此，这些药物不应用于新冠感染的治疗或预防。,//jiaozhen-70111.picnjc.qpic.cn/4dT3RNxW6YG2Ey3Y2DUJjk?imageView2/2/w/300/h/300,fake
感染了新冠不能吃醪糟汤圆，会把病毒发到大脑里面去,这是典型的“把先后发生的两件事强行赋予因果关系”的逻辑谬误。醪糟汤圆只是一种食物而已，其中除了糯米，剩下的就是一些淀粉被发酵、分解产生形成的葡萄糖与麦芽糊精，以及少量酒精。经过煮熟，酒精也基本上挥发掉了。只要它没有腐坏变质，不会对身体有什么不良影响，更不会“把病毒发到大脑里面去”。,//jiaozhen-70111.picnjc.qpic.cn/nwAUhV9n3p16dUDyye8PfT?imageView2/2/w/300/h/300,fake
新冠阳康后十五天才产生抗体，容易造成重复感染,"一项中国科学家做的研究显示，在症状出现后2-4天，30%的人已经IgG或IgM转阳，到11-13天，转阳率超过90%。对于已经接种过新冠疫苗的人来说，此时感染，不是第一次暴露于抗原之下，免疫系统会调动疫苗接种时打下的免疫记忆，反应更为迅速。所以准确地说，感染后15天，除非严重免疫抑制的人，肯定都有抗体。
把人体形成抗体所需的时间段称为容易重复感染的免疫空窗期更是荒唐。自然感染后不到一周，即便体内抗体形成还不够多，此时病毒感染的位置——呼吸道黏膜，正处在显著的炎症反应之中，可能有大量的能广谱杀伤病原体的先天免疫细胞进入，还有各种炎症因子释放。这种时候，感染者的呼吸道并不适合新冠病毒进入。",//jiaozhen-70111.picnjc.qpic.cn/upksZgvG1cvM3s1PbWozkJ?imageView2/2/w/300/h/300,fake
病毒太狡猾，5天内就会复阳，复阳后症状更严重,"“二次感染”和“复阳”是两个不同的概念。二次感染，是先前感染过（新冠病毒），过了一段时间，又感染了一次。而复阳是病毒核酸检测转阴了，经过一段时间，又变成阳性了，并不是第二次的新近感染，而是变阴性后再次阳性。
如果用核酸检测或者抗原检测过，一度变阴性了，隔了两天，又变成阳性了，那么这种“复阳”其实最大可能是检测的误差和波动导致。中间的“转阴”很可能是没有采集到足够的病毒样本造成的。
至于“复阳”后的症状如何，要看具体情况。如果是感染恢复了，核酸又阳性，一般没有症状。如果是重复感染的，就需要看感染的病毒的致病性。",//jiaozhen-70111.picnjc.qpic.cn/71KSkh5yMMscRUXH9aSL28?imageView2/2/w/300/h/300,fake
新冠阳转阴之后，必须更换牙刷,病毒在体外存活时间很短，即便是新冠病毒，在孔状物体表面只有几分钟到几个小时，在非孔状物体表面时间为几天到几周。牙刷的材质是塑料和尼龙线，并不适合病毒存活，刷一次牙也会间隔好几个小时，干透后病毒基本死得差不多了。而且人一旦感染后，你的免疫系统已经启动了战斗模式，如果你康复了，你体内大量的病毒都被它帮你清干净了，还会怕牙刷上那几个已经死透透或半死不活的病毒？,//jiaozhen-70111.picnjc.qpic.cn/a3G2dwr871URBhE7CeSLdT?imageView2/2/w/300/h/300,fake
变异毒株“地狱犬”在日本“杀疯了”,所谓的“地狱犬”毒株即BQ.1系列毒株。 BQ.1是奥密克戎BA.5在人群流行传播过程中，通过病毒的变异变迁产生的第六代亚分支。BQ.1.1是BQ.1的第一代亚分支。这些进化分支致病力明显减弱，致重症和死亡比例明显低于早期流行的变异毒株。BQ.1虽然引起全球范围的关注，但是目前未见任何国家报道BQ.1及其亚分支感染者的致病力增加，也无住院率和病死率增加的报道。而且日本尚未出现大规模BQ.1疫情，日本的主导毒株仍为BA.5。 ,//jiaozhen-70111.picnjc.qpic.cn/otv3aruDvYHMSKhyNZmrgv?imageView2/2/w/300/h/300,fake
新冠感染者的密接提前吃半剂量感冒药可减轻发病症状,"这个说法非常有欺骗性，因为新冠密接，不代表一定会感染，感染了也不一定需要用药。如果这类人群信了专家的话把药吃了，结果可能是以为这么做真的产生了效果。实际上，你吃不吃药都一样，更何况，这种预防办法毫无科学依据，除了增加用药安全风险，没有其他帮助。
目前并没有新冠病毒的预防药物，我们吃的感冒药、布洛芬等都是缓解症状的药物，对发烧、咳嗽、流鼻涕有效，但是本质上并不能阻止病毒复制，也不能阻止病毒从细胞里脱离出来。别说吃半剂感冒药，你就是吃2剂也不行，反而是增加药物不良反应风险。",//jiaozhen-70111.picnjc.qpic.cn/ty87GMq9BMAYY6LG5Ka6no?imageView2/2/w/300/h/300,fake
打疫苗时的症状乘十倍，就是感染后的症状,"这种说法是错误的，对于灭活疫苗来说，虽然里面也含有新冠病毒，但是已经灭活的病毒，这与自然感染造成机体损伤的过程不一样。
另外，一个人接种疫苗时的身体反应，不只是灭活的病毒本身，也与疫苗中其他成分有关系。比如，灭活疫苗一般是用非洲绿猴肾细胞（VERO细胞）培养的，疫苗中多少会有细胞培养以及细胞本身的残片，以及佐剂、添加剂。所以，疫苗的不良反应不能与感染病毒后的症状直接比较。",//jiaozhen-70111.picnjc.qpic.cn/57MVvVWChfKMC3M93Vb1cv?imageView2/2/w/300/h/300,fake
如果感染过但病毒载量低，就可能短期再次感染,"载毒量会受多个因素影响，例如采样标准程度，试剂盒本身质量。而且即便这些技术上都非常标准了，载毒量本身是动态的。因此，仅看某一次核酸检测带来的一个载毒量数字，都不能反映实际感染过程中的载毒量变化情况。
免疫反应强弱取决于人体免疫系统对病毒的识别，然后被激活，与载毒量没有直接对应关系。现在的研究发现轻症以及无症状感染的免疫反应弱一些，表现为康复后中和抗体滴度更低。但轻症无症状核酸检测的载毒量并不比症状较重的低。
总之，载毒量高低和免疫反应强弱没有明确的关联，因此也很难和二次感染防护程度联系在一起。",//jiaozhen-70111.picnjc.qpic.cn/huSgc4hvKoyP29GNtF2f9k?imageView2/2/w/300/h/300,fake
长得好看的人不容易得新冠,"网文中提到的研究论文，今年2月发表于《英国皇家学会学报B》(Proceedings of The Royal Society B)。但是，仔细读了一下这篇论文，其实跟新冠病毒感染没有半毛钱的关系。
研究人员通过调查发现：长得越好看的人，身体越健康！但仅此而已，这就是一个相关的结果，其实并没有证实“身体健康” 和“长得好看”之间有因果关系。
论文研究者都不敢说，网文作者就脑洞大开，总结出荒谬的结论：“漂亮的人免疫力更好，更能抵抗新冠病毒”。",https://inews.gtimg.com/newsapp_bt/0/10493663291/641?imageView2/2/w/300/h/300,fake
新冠病毒能杀死肺癌细胞,"这只是一个动物实验，新冠病毒刺突蛋白是否在人体中也能让肺癌细胞萎缩？这还是一个未知数，还需要更多的研究来证实。
即便未来的研究证实刺突蛋白的抗癌作用，那也必须清楚地认识到这样一个事实：用来治疗肺癌的药物是病毒的蛋白，并不是整个病毒颗粒；也就是说，只是让病毒蛋白在细胞外蹭一蹭，并不是让活病毒来感染患者。",https://inews.gtimg.com/newsapp_bt/0/13840269407/641?imageView2/2/w/300/h/300,fake
喝白酒能有效预防新冠,"“饮酒防疫”这说法早在疫情流行之初就有了。外用酒精可以杀灭病毒，这没啥问题，但曲解成“喝酒可以抗新冠状病毒”就太扯了。“酒含有活性成分，能激活免疫力”更是陈词滥调。
科学界早就有共识：为了健康，无论是洋酒还是白酒，无论葡萄酒还是养生酒，都应该少喝，最好不喝。原因很简单，不管里面号称有多少有益活性物质，它们最主要的活性成分，都是酒精。而任何含酒精的饮料，都是一级致癌物。",//jiaozhen-70111.picnjc.qpic.cn/kEZeu73ReTXo2m2dxNj43s?imageView2/2/w/300/h/300,fake
奥密克戎是小艾滋，反复感染会免疫衰竭,"新冠二次感染的风险是存在的，但没有网上一些谣言传得那么神，什么小艾滋、免疫耗竭，这些都是不对的。
新冠是急性感染，感染之后病毒就被清除了，会留下免疫记忆，二次感染的时候，免疫记忆被激发，普遍会让人的健康风险更小一些。
虽然每一次病毒感染都有一定的不确定性，但总体上新冠二次感染的危险会低于第一次。",//jiaozhen-70111.picnjc.qpic.cn/j36pKuAgjSsunHDYtfqA1n?imageView2/2/w/300/h/300,fake
得了新冠喝白开水没用，喝电解质水才有效,"得了新冠之后，带水的液体对于身体的恢复都有好处。因为新冠感染可能导致发烧、出汗，水分和电解质流失；另外，还可能出现喉咙痛，喝冰水可以有轻微的麻木效果，可以让你更舒服一点。
但在缓解新冠症状的作用大小上，电解质水是不是比普通的白开水更好，这就不一定了。对绝大多数人来说，保证充足的液体摄入基本是够的，白开水、汤汁、矿泉水、电解质水都行；对于腹泻的患者，电解质丢失比较严重，喝电解质水会很有帮助。而如果是那些无法摄入液体的比较严重的情况，则可能要去医院输液，不建议在家自行处理。",//jiaozhen-70111.picnjc.qpic.cn/qyweayJp4E7qQp3bGYZGnU?imageView2/2/w/300/h/300,fake
感染新冠后不能吃布洛芬，否则会加重病情,"“得了新冠不能用布洛芬加重病情”的说法是一个未经证实的谣言，起源于2020年初的一个假设，而非客观事实。
多个国际权威机构已表示“没有证据表明布洛芬与新冠感染症状恶化之间存在联系”“不建议反对使用布洛芬”，因此如果得了新冠出现发烧疼痛，在没有药物禁忌的情况下，完全可以使用布洛芬。
接种新冠疫苗后，可能出现发烧，或者注射部位有时候会出现疼痛，这种情况下用布洛芬或对乙酰氨基酚等止痛药也不会削弱疫苗效果。",//jiaozhen-70111.picnjc.qpic.cn/d8Rs9xdRDt7ZyDb6heDFGH?imageView2/2/w/300/h/300,fake
国务院联防联控小组正式摘牌,"据核实，网上流传的图片并不是什么联防联控小组摘牌场景，而是国家卫健委2020年将其新闻发布会背景改成国务院联防联控机制发布会背景的照片。
而在12月8日下午召开的国务院联防联控机制新闻发布会现场，蓝底白字的背景上仍然写着“国务院联防联控机制新闻发布会”，显然“联防联控机制”仍在运行，而“联防联控小组”子虚乌有。",//jiaozhen-70111.picnjc.qpic.cn/3YY8tPboHfAokveaDnD3Ve?imageView2/2/w/300/h/300,fake
新冠患者不能服用布洛芬,"2020年3月，科学家发现新冠病毒经过ACE受体起作用。已知非甾体抗炎药NSAID（包括布洛芬）也是通过ACE受体工作，世卫发言人回应：保险起见，目前“建议使用扑热息痛，不用布洛芬。”
2020年3月18日，综合专家研究和一线医生的意见，世界卫生组织正式表态：布洛芬可以用于新冠患者。至此，这件纷纷扬扬的事情画了一个句号。这两天大家见到的自媒体文章，就是2020年蹭流量的一波。",//jiaozhen-70111.picnjc.qpic.cn/xsUy6oaWRAENtpLFEzwyGP?imageView2/2/w/300/h/300,fake
羊城晚报：奥密克戎病毒正式更名为新型冠状病毒感冒,羊城晚报社11月30日发布辟谣称：有人恶意P图，假冒羊城晚报官方微博之名，发布“本次奥密克戎病毒正式更名为新型冠状病毒感冒”等不实言论，造成恶劣影响。现严正声明：本报所有端口从未发表类似言论，已报警处理。网络不是法外之地，对恶意编造及散布不实信息者，本报将依法追究其一切责任。,//jiaozhen-70111.picnjc.qpic.cn/i15g8VwjarE1A17KpnMa9E?imageView2/2/w/300/h/300,fake
常戴口罩会吸入口罩纤维到肺里，患上肺结节,"很多人体检发现肺结节，主要因为是现在医学影像技术进步了，肺结节越来越容易被检测出来了。以前的X线检查分辨率不够，CT又太贵很少有人做，所以查不出来那么多结节，这和口罩没什么关系。
至于口罩上会掉“渣”的说法，由于我们的呼吸道有自洁的功能，所以能阻挡很多异物进入肺泡，真正能进入肺泡的只有我们很熟悉的PM2.5-PM10大小的微粒。熔喷布是口罩的核心材料，以石油化工产品聚丙烯为主要原料，为高分子结构，正常情况下分子与分子粘接在一起，不可能“降解”或“释放”出小颗粒。合格的医用外科口罩，正常使用的情况下，并不会掉“渣”被我们吸入肺里引起危害。而且正确佩戴口罩，恰恰能保护我们免于吸入病原体或其他异物。",//jiaozhen-70111.picnjc.qpic.cn/7wZPc8qJM3hyVswtyxbXCj?imageView2/2/w/300/h/300,fake
抗原检测试剂盒不准，用橘子汁做都能阳,"这其实是一种假阳性结果，甚至可以认为这样的操作只是在浪费检测试剂盒，因为标本类型不适用，检测结果没有意义。
出现这样的结果是因为橙汁的pH值较低，会使溶液的酸性增加破坏胶体金颗粒的状态而导致了假阳性的结果。
此外，直接拿果汁或者饮料来做其实是没有按照检测的操作规程来做的。如果用原装的稀释液或者反应液对检测的样本进行前处理，应该会得到预期的结果。
最后，即使是吃了橘子喝了果汁饮料，也是从口咽部顺食道到达胃部，一定时间之后很难有残留不说，抗原检测多是鼻部分泌物，几乎也不会有交集。",//jiaozhen-70111.picnjc.qpic.cn/mK2nDrwV47xhij42TGFDWB?imageView2/2/w/300/h/300,fake
高烧四十度也是无症状，出现肺炎才算确诊,"无症状是指没有任何明显症状，包括发烧、咳嗽、喉咙痛等各种呼吸道传染病症状在内，所以“高烧四十度不退”并非“无症状”；
无症状感染在现实中包括真的全程无症状，以及感染者处于症状前暂时无症状，或者感染者忽略了自己的症状；
无症状感染在新冠传播中占了较高的比例，疫情防控需要关注无症状感染。",//jiaozhen-70111.picnjc.qpic.cn/pVPo5S6d8g7b4kgi9yihpT?imageView2/2/w/300/h/300,fake
重庆火车站拉人到方舱医院有补贴,重庆市公安局江北区分局官方微信“平安江北”22日发布警情通报称，网传重庆北站羊儿客拉人到方舱医院有补贴系谣言，造谣者已被警方抓获并开展调查。,//jiaozhen-70111.picnjc.qpic.cn/g7guJdFWxKmm1GbasGSFtB?imageView2/2/w/300/h/300,fake
石家庄查出白肺，可能是新冠变异,对此，红星新闻记者拨打石家庄市12345政务服务便民热线，反映网传消息。11月15日上午，石家庄市第二人民医院一名工作人员回电称，院方收到相关部门派发的工单后，经调查核实，网传的“石家庄查出白肺”系谣言，“我们医院没有这个事儿，谣言止于智者。”,//jiaozhen-70111.picnjc.qpic.cn/cwLZtTw55DLNP7Tt9eePS7?imageView2/2/w/300/h/300,fake
天津老太太发口罩拐骗儿童,经与公安部门核实，11月13日10时许，梁某某（女，70岁）途经河北区金海道某小区门前时，看到两名12岁男孩在路边玩耍未佩戴口罩，遂主动提供口罩，被两名男孩拒绝，在双方纠缠期间群众报警。经进一步调查，梁某某患有小脑萎缩，口罩上无有害物质，不存在拐骗儿童行为。现双方已消除误解。,//jiaozhen-70111.picnjc.qpic.cn/8yMJbC5bkAnXRurRa4wePg?imageView2/2/w/300/h/300,fake
北京重庆河北山东山西等地飞机喷洒打药全城消杀,针对这一网传信息，多地官方回应：传言不实！,//jiaozhen-70111.picnjc.qpic.cn/jghSFbDM8EEzDfM5PNhv2B?imageView2/2/w/300/h/300,fake
上海一医院要求骨折儿童三天四次核酸才能做手术,上海辟谣平台多方求证，该传言为不实信息。根据网传消息中的医院名称查询，“上海市儿童医院”有两个院区，分别位于普陀区泸定路、静安区北京西路，“复旦大学附属儿科医院”位于万源路。上海辟谣平台向市卫健委和上述医院求证获知，院方均没有三天四次核酸检测阴性才能进行手术的要求。同时，复旦大学附属儿科医院也未核查到存在网传相似情况的病人。,//jiaozhen-70111.picnjc.qpic.cn/9Dzq1f6EY8298Yw7sNmGHm?imageView2/2/w/300/h/300,fake
太原防疫短信带核酸结果“查询链接”，可以点击查询,"10月4日，经与太原市反诈骗中心核实，附有查询链接的该短信为诈骗链接，点击后会跳转至某钓鱼网站，骗取公民个人信息。
太原市疫情防控办近期发送的官方疫情防控短信，均为文字信息，不附带任何查询链接。",//jiaozhen-70111.picnjc.qpic.cn/snc972bZU4sMFXmuzCf6aU?imageView2/2/w/300/h/300,fake
出公共场所再扫场所码可避免成为密接者,宁波市防控办对网传说法辟谣：扫场所码是为方便流调工作，确保一旦发现阳性病例，密接、次密接、时空伴随人员都可以通过场所码第一时间进行管控。市民只需在进入场所的时候扫码，出门后无需扫码。出门扫码并没有“证明出门”的作用，更不能让你避免成为“密接者”。,//jiaozhen-70111.picnjc.qpic.cn/x8kmEe2UrVaozyS8vVeTqq?imageView2/2/w/300/h/300,fake
上海游客遇新疆疫情，变身葡萄采摘工,吐鲁番市农业农村局、林草局等相关部门核实，有关部门未采取过将滞留人员留在本地就业采摘葡萄的措施，且吐鲁番市葡萄采摘工作于9月中旬基本结束，目前即将进入葡萄冬季埋墩阶段。,//jiaozhen-70111.picnjc.qpic.cn/iwStcGMpqU94pYpkGpXSD5?imageView2/2/w/300/h/300,fake
上海有人“持红码到酒吧蹦迪”数千人惨变密接,"所谓“持红码到酒吧蹦迪”的说法系误传。根据上海警方调查，视频中出现的红码图片实为两名当事人存在手机里的历史截图。原来，当事人葛某某和李某某曾于今年7月8日作为密接人员被赋红码，并于7月14日解除隔离。期间，两人均将红码截图保存在手机相册中。
9月13日晚，葛某某和李某某相约到汾阳路某酒吧娱乐，两人的随申码均为绿码，经核验后才进入场所。就在酒吧娱乐期间，两人向朋友展示了手机内以前的红码截图，这一过程被他人摄录。
而就在近日，这段视频通过社交平台广泛传播，被网友误传为“持红码蹦迪”，并与国庆长假期间的确诊病例的行程轨迹相关联。实际上，两者并不相关，也不存在凭红码进场所娱乐的情况。",//jiaozhen-70111.picnjc.qpic.cn/7BKjGqTcXywwnzWqhctitZ?imageView2/2/w/300/h/300,fake
体检查出肺结节，是打新冠疫苗打出来的,"人群中肺结节的检出率其实并不低，绝大多数肺结节是良性的；肺结节除了关注大小以外，还应当关注数量、密度和形态等。肺部CT检测精度的提升以及检查数量的增加（包括大量不必要的检查），是近年来肺结节高发的重要原因。
目前没有证据表明疫苗接种（包括不限于新冠疫苗）与肺结节的出现有关联。",//jiaozhen-70111.picnjc.qpic.cn/qXboJt4mr1JRiDrSEQDBDT?imageView2/2/w/300/h/300,fake
上海去世老人核酸报告不断更新,上海辟谣平台进一步向属地部门了解确认，相关核酸样本来自杨浦区一家福利院，该福利院有两位同名同姓的老人，其中一人已去世。福利院在管理两位老人纸质核酸码时出现错误，不断更新的核酸结果其实是健在老人的。目前，福利院已和去世老人的家属取得联系并致歉。,//jiaozhen-70111.picnjc.qpic.cn/sa26We4rgZtg8hZKrtB6LD?imageView2/2/w/300/h/300,fake
成都某小区一阿姨误喝核酸试管水,近日，有网民在社交平台发帖称，“成都锦江区一小区阿姨在做核酸检测时，误喝核酸试管里的红色液体”，并附相关聊天记录截图，引发本地网民关注，不少人担忧当事人身体状况。针对网传信息，成都市锦江区柳江街道办事处于9月14日通过官微发布辟谣，并无此事。,//jiaozhen-70111.picnjc.qpic.cn/qanV69dxVXrRWAPbsNyTV2?imageView2/2/w/300/h/300,fake
成都6日晚上不要开窗户，半夜会大面积消杀,经核实该消息为谣言，类似消息被多次辟谣，全面室外消杀没有意义也没有必要。,//jiaozhen-70111.picnjc.qpic.cn/8oJcaXGa3St7Pada23bq2U?imageView2/2/w/300/h/300,fake
网传9月6日晚8点起成都全市餐饮外卖停业,9月6日，一则“晚上8点开始，成都所有餐饮、外卖行业闭店”信息在社交平台流传。成都市商务局于9月7日通过官方网站发布声明：该消息不属实！按照《成都市新型冠状病毒肺炎疫情防控指挥部关于在全市开展全员核酸检测的通告》（2022年9月1日）规定，保障市民基本生活需求且纳入市级或区级“白名单”的餐饮企业，在取消堂食的同时，可提供外卖服务。全市主要外卖电商企业在符合疫情防控要求的前提下，均坚持正常运营，最大限度保障广大市民线上订餐等消费需求。请大家不信谣、不传谣。,//jiaozhen-70111.picnjc.qpic.cn/gB1s6dsWJpg98Ks5CiA6cr?imageView2/2/w/300/h/300,fake
天津市将于9月7日开展全市核酸筛查,近日网民举报谣言线索，内容为“9月7日天津将在全市范围内开展核酸筛查”，此信息在网上传播，引起部分市民的关注。经核实，此为谣言信息，天津市尚未有9月7日开展全市核酸检测的计划。,//jiaozhen-70111.picnjc.qpic.cn/7196GSZTxXQaPptqJzzVvz?imageView2/2/w/300/h/300,fake
9月2日0:00起深圳全市暂停三天，全员足不出户,"深圳卫视&壹深圳客户端记者了解到，今天深圳部分区新型冠状病毒肺炎疫情防控指挥部发布了通告，严控疫情传播风险，尽快实现社会面动态清零，更好保障居民群众健康安全。
但是有人将某区的通告“全域实行如下管控措施”理解为“全域停止一切非必要流动、活动”，甚至传言全城静默管理，此系严重误读。请各位市民按照通告发布的有关防疫政策，安心工作和生活。",//jiaozhen-70111.picnjc.qpic.cn/6uv541bdUTCzfxDdvvAWw1?imageView2/2/w/300/h/300,fake
图片：深圳疫情严重，密接的小猫咪被关在隔离棚,流传图片中猫咪所在的地方并不是深圳，而是成都青羊区，“四海二期密接猫”为后期加上去的字，并不能确定猫咪是自己钻进隔离棚的还是被别人放进去的。,//jiaozhen-70111.picnjc.qpic.cn/c1RY9UAvZgcSe6T4RTg2kS?imageView2/2/w/300/h/300,fake
一码扫两次可防止成“密接”,在公共场合采用“一码两扫”的形式，并不能避免成为“密接者”或“时空伴随者”。到公共场合扫码只能用于记录个人出行地点。当前判定“时空伴随者”的标准，是在14天内，与新冠确诊患者在同一个时间和空间网格内，共同停留过一段时间即为“时空伴随”。,//jiaozhen-70111.picnjc.qpic.cn/dPh37pjRgV3PPLQgU1FjTx?imageView2/2/w/300/h/300,fake
频繁做核酸引发喉癌鼻咽癌剧增,"绝大多数癌症的发生发展是多因素多步骤的结果，鼻咽癌、口腔癌、喉癌等也不例外。核酸采样拭子不会引发相关癌症。
鼻咽鼻腔和口咽等黏膜防御体系强大，规范的操作一般不会造成黏膜损伤。如果出现了损伤，一般也会自我修复。
鼻炎的发生和鼻拭子完全无关。鼻拭子采样的不适感因人而异，鼻炎患者的反应可能较大。",//jiaozhen-70111.picnjc.qpic.cn/6QU25fWvK9VXYmvn1Gp3P9?imageView2/2/w/300/h/300,fake
7月广东珠海要封城,13日晚，“珠海发布”发布通告，7月11日18时50分左右，广东珠海市在中大五院发热门诊发现本轮疫情首例新冠病毒阳性个案。截至目前，所有阳性个案均为海莲幼儿园关联病例，都在同一传播链上，自第4例个案起全部在隔离管控人员或管控区域发现，疫情处置工作正在有序有效进行。网传“珠海封城”为不实消息。,//jiaozhen-70111.picnjc.qpic.cn/xaaBa9as3ZBAHoeP9FvUh?imageView2/2/w/300/h/300,fake
